,Method,Mark,Dataset,binsize,feature_selection,kmeans_ami,kmeans_ari,ward_ami,ward_ari,cosine_ami,cosine_ari,silhouette
63,Chromscape_PCA,H3K27me3,scChIP_Marsolier_2022,5,raw,0.13129281708045,0.108621977735336,0.0418620433270982,-0.030653430221843,0.1812304205839591,0.1809420313638728,0.2022015345332983
64,Signac,H3K27me3,scChIP_Marsolier_2022,5,raw,0.0045045832794917,0.0213841667830322,0.000261578220142,-0.0017108311404165,0.102609371130237,0.1632449195066758,0.0217468594855967
65,SnapATAC,H3K27me3,scChIP_Marsolier_2022,5,raw,0.5804192585057031,0.6996012782739057,0.6778729784745451,0.7895801755295924,0.4835400798744846,0.607327049294147,0.4175435695562792
66,cisTopic,H3K27me3,scChIP_Marsolier_2022,5,raw,0.5565254870162863,0.6794053300263357,0.4206392838076884,0.4707731431527821,0.4687681016600776,0.5454920077970172,0.3397010496303956
67,PeakVI,H3K27me3,scChIP_Marsolier_2022,5,raw,0.5382885634745014,0.6663910217059141,0.4291151420788573,0.546217080613683,0.4348832066669594,0.5553010904075325,0.1911147234535161
68,SCALE,H3K27me3,scChIP_Marsolier_2022,5,raw,0.000819406042376,0.0043089578888025,0.4372172433585147,0.5623809574063124,0.0947887460060955,0.0643918424193861,0.2958832327705403
69,NMF,H3K27me3,scChIP_Marsolier_2022,5,raw,0.2698271069590134,0.3129530083352735,0.00011451858638,0.0001582347825379,0.00011451858638,0.0001582347825379,0.2409439200607256
70,TFIDF-NMF,H3K27me3,scChIP_Marsolier_2022,5,raw,0.3890487888115055,0.5155213876583865,0.2350450418798835,0.3415962430064895,0.5924514083457321,0.7155042643569302,0.1676602870348214
71,Chromscape_LSI,H3K27me3,scChIP_Marsolier_2022,300,raw,0.2921469356374849,0.3882306710760005,0.5798756308138112,0.6585656120307327,0.4906894550271398,0.5690492854054628,0.2662754383152
72,Chromscape_PCA,H3K27me3,scChIP_Marsolier_2022,300,raw,0.4338885258496725,0.4533904141534066,0.3255525457709891,0.303751174305083,0.8531341255138425,0.9203911197274594,0.4343091926154647
73,Signac,H3K27me3,scChIP_Marsolier_2022,300,raw,0.0349704259860868,0.0178032301278787,0.2692998396504452,0.2425027868488179,0.2656230326663469,0.2402940614673503,0.0340324002368847
74,SnapATAC,H3K27me3,scChIP_Marsolier_2022,300,raw,0.5402840179550218,0.6212644267946389,0.6924790679715853,0.7885346869015116,0.0001214133832065,0.0001677676992694,0.4438897102019682
75,cisTopic,H3K27me3,scChIP_Marsolier_2022,300,raw,0.5981094040260656,0.6796967264356975,0.5772969270637774,0.6603671483679038,0.3363037535223512,0.3607745363419067,0.3268871054646909
76,PeakVI,H3K27me3,scChIP_Marsolier_2022,300,raw,0.4647032065869892,0.5933921619460067,0.5923001265014173,0.6636469269489782,0.5305818670454664,0.6180353254934245,0.2989428591074744
77,SCALE,H3K27me3,scChIP_Marsolier_2022,300,raw,0.0250960114226569,0.003670052553728,0.1585435901632442,0.0931776276886956,0.0194178998863087,-0.0023010364980316,0.2800253244302151
78,NMF,H3K27me3,scChIP_Marsolier_2022,300,raw,0.8101347437125932,0.8875722547951529,0.8009679365043516,0.8815223670716965,0.8709094786875948,0.9272195907988112,0.3102052614464439
79,TFIDF-NMF,H3K27me3,scChIP_Marsolier_2022,300,raw,0.5460715660553026,0.6054169512042384,0.4200296181486043,0.432653314851193,0.5763490109201982,0.6332096887812896,0.3824439298254727
80,Chromscape_LSI,H3K27me3,scChIP_Marsolier_2022,200,raw,0.2554803206644532,0.3543020736186409,0.5940921812645142,0.6700502049616751,0.4598618698612098,0.51114376751782,0.2588354793122179
81,Chromscape_PCA,H3K27me3,scChIP_Marsolier_2022,200,raw,0.4894410479098551,0.5280249086203676,0.2944944316886753,0.2655636091511105,0.9105166832469446,0.9572109630890756,0.4438070340388927
82,Signac,H3K27me3,scChIP_Marsolier_2022,200,raw,0.037530249579669,0.0170064267625169,0.2706669238602974,0.2498231034792977,0.3414977652605607,0.3585206236953188,0.025830355447496
83,SnapATAC,H3K27me3,scChIP_Marsolier_2022,200,raw,0.5588314191263859,0.6382969448458333,0.8195587859289741,0.8991591155367171,0.7394122395900621,0.8376930512577438,0.5049190009132739
84,cisTopic,H3K27me3,scChIP_Marsolier_2022,200,raw,0.5839093484940528,0.6650212561363293,0.2570733841904581,0.2213609419195085,0.2518176029870758,0.2207927174159129,0.4293124743175138
85,PeakVI,H3K27me3,scChIP_Marsolier_2022,200,raw,0.6548264460150875,0.7635271173747182,0.6820827853831325,0.7848813115454462,0.0598744101389543,-0.0243669065005735,0.2993117214901736
86,SCALE,H3K27me3,scChIP_Marsolier_2022,200,raw,0.0195635340974771,-0.002169824397771,0.0012905240393221,-0.0021630503608278,0.0076451803297959,0.0309290006158347,0.2364050205882743
87,NMF,H3K27me3,scChIP_Marsolier_2022,200,raw,0.4028808303997488,0.413507950102523,0.2932862808084393,0.2658605977326818,0.5373844442059069,0.5874906336628193,0.278435664921493
88,TFIDF-NMF,H3K27me3,scChIP_Marsolier_2022,200,raw,0.8193096781296272,0.8979183288282241,0.8544423442576241,0.9205795763101652,0.4245358843438272,0.4465793262752083,0.3592123784247116
89,Chromscape_LSI,H3K27me3,scChIP_Marsolier_2022,30,raw,0.5964095692547328,0.6877589455052936,0.9252739690690172,0.9655978674536236,0.911778811506346,0.9583077628845436,0.3719800233388161
90,Chromscape_PCA,H3K27me3,scChIP_Marsolier_2022,30,raw,0.5372053813622731,0.6221765051159823,0.362655479830217,0.4097537072070492,0.8784862289856445,0.9369573356291532,0.390224191703755
91,Signac,H3K27me3,scChIP_Marsolier_2022,30,raw,0.011331940135441,-0.0095300680741651,0.2267286230379619,0.2648801097874771,0.2459573352017003,0.2729923433700581,0.0166806632676105
92,SnapATAC,H3K27me3,scChIP_Marsolier_2022,30,raw,0.5465027921333552,0.6329857256348906,0.5528325594727226,0.6015599086809306,0.6334422246348734,0.6992352462146741,0.5760802729986539
93,cisTopic,H3K27me3,scChIP_Marsolier_2022,30,raw,0.5115320830976423,0.5915013928880426,0.3748960954772476,0.4183569018963337,0.3591902060530306,0.4087937261750168,0.346325788426693
94,PeakVI,H3K27me3,scChIP_Marsolier_2022,30,raw,0.6856124481727379,0.7921031795656934,0.3717470218870785,0.4185668726037513,0.7669106580804635,0.8592914816580332,0.3596505198309657
95,SCALE,H3K27me3,scChIP_Marsolier_2022,30,raw,0.4289574510086981,0.4882815868738511,0.3895380901358959,0.4144994382134203,0.0838373982442963,0.0543762443142929,0.2932000635865053
96,NMF,H3K27me3,scChIP_Marsolier_2022,30,raw,0.2921135276361044,0.2630018687924383,0.2873688962206369,0.2590158270645742,0.0001174407153975,0.0001622694192282,0.281331352520147
97,TFIDF-NMF,H3K27me3,scChIP_Marsolier_2022,30,raw,0.8374121215345322,0.9059166204895645,0.8158105726424681,0.8970033570425759,0.3905850898490517,0.4102445036527939,0.2839312086171932
