,Method,K,fraction,frac. shared neighbors,Mark,Dataset,binsize,feature_selection
176,TFIDF-NMF,60,0.005,0.0593878002878335,H3K9me3,PairedTag_Zhu_2021,10,filtered_q_75
178,NMF,120,0.01,0.0215231650614413,H3K9me3,PairedTag_Zhu_2021,10,filtered_q_75
179,TFIDF-NMF,120,0.01,0.0964525905014945,H3K9me3,PairedTag_Zhu_2021,10,filtered_q_75
181,NMF,361,0.03,0.0524588512481013,H3K9me3,PairedTag_Zhu_2021,10,filtered_q_75
182,TFIDF-NMF,361,0.03,0.1868161616087273,H3K9me3,PairedTag_Zhu_2021,10,filtered_q_75
184,NMF,602,0.05,0.0785549882987186,H3K9me3,PairedTag_Zhu_2021,10,filtered_q_75
185,TFIDF-NMF,602,0.05,0.2439601306836174,H3K9me3,PairedTag_Zhu_2021,10,filtered_q_75
187,NMF,1204,0.1,0.1347176907264724,H3K9me3,PairedTag_Zhu_2021,10,filtered_q_75
188,TFIDF-NMF,1204,0.1,0.3216289717326613,H3K9me3,PairedTag_Zhu_2021,10,filtered_q_75
190,NMF,12,0.001,0.0074103287944204,H3K9me3,PairedTag_Zhu_2021,50,filtered_q_75
191,TFIDF-NMF,12,0.001,0.0197747149341304,H3K9me3,PairedTag_Zhu_2021,50,filtered_q_75
193,NMF,36,0.003,0.0178512122218532,H3K9me3,PairedTag_Zhu_2021,50,filtered_q_75
194,TFIDF-NMF,36,0.003,0.0435325104247389,H3K9me3,PairedTag_Zhu_2021,50,filtered_q_75
196,NMF,60,0.005,0.0261734750359791,H3K9me3,PairedTag_Zhu_2021,50,filtered_q_75
197,TFIDF-NMF,60,0.005,0.0628072069080039,H3K9me3,PairedTag_Zhu_2021,50,filtered_q_75
199,NMF,120,0.01,0.0433355474371748,H3K9me3,PairedTag_Zhu_2021,50,filtered_q_75
200,TFIDF-NMF,120,0.01,0.1008420513672091,H3K9me3,PairedTag_Zhu_2021,50,filtered_q_75
202,NMF,361,0.03,0.0921041131732125,H3K9me3,PairedTag_Zhu_2021,50,filtered_q_75
203,TFIDF-NMF,361,0.03,0.1887807954398047,H3K9me3,PairedTag_Zhu_2021,50,filtered_q_75
205,NMF,602,0.05,0.1284636289309078,H3K9me3,PairedTag_Zhu_2021,50,filtered_q_75
206,TFIDF-NMF,602,0.05,0.2397715850298628,H3K9me3,PairedTag_Zhu_2021,50,filtered_q_75
208,NMF,1204,0.1,0.1942779575664424,H3K9me3,PairedTag_Zhu_2021,50,filtered_q_75
