,Method,Mark,Dataset,binsize,feature_selection,kmeans_ami,kmeans_ari,ward_ami,ward_ari,silhouette
123,cisTopic,H3K4me1,PairedTag_Zhu_2021,1000,raw,0.3683629085982428,0.1542634010634944,0.352308712059101,0.1529571550489469,-0.0266178860791551
124,PeakVI,H3K4me1,PairedTag_Zhu_2021,1000,raw,0.4630068214293114,0.2314185738458581,0.4701583704082716,0.268443815106724,-0.0372837123157122
125,SCALE,H3K4me1,PairedTag_Zhu_2021,1000,raw,0.3775116491132392,0.1762975100435791,0.372431347341822,0.1761368679538455,-0.0512169140878051
126,Chromscape_LSI,H3K4me1,PairedTag_Zhu_2021,50,raw,0.5269510580758027,0.3008062050125503,0.5464333767950443,0.3022867429602141,0.0388589268605147
127,Chromscape_PCA,H3K4me1,PairedTag_Zhu_2021,50,raw,0.4975587800789212,0.2763389894177634,0.4848185538359603,0.2390637980084445,-0.021300891370603
128,Signac,H3K4me1,PairedTag_Zhu_2021,50,raw,0.6281952537364943,0.3306282804425492,0.6465105956185488,0.4052538364049722,-0.0918497321193228
129,SnapATAC,H3K4me1,PairedTag_Zhu_2021,50,raw,0.4942428320552282,0.2450256639601048,0.4926116205737219,0.2254210096003729,-0.0199565530661268
130,cisTopic,H3K4me1,PairedTag_Zhu_2021,50,raw,0.5356254769999259,0.276019305952867,0.5381750229719151,0.3025091357192118,-0.0033532544966278
131,PeakVI,H3K4me1,PairedTag_Zhu_2021,50,raw,0.6106762100768655,0.4174254366369579,0.610580477290966,0.4427623734550077,0.0550876951770319
132,SCALE,H3K4me1,PairedTag_Zhu_2021,50,raw,0.534425171399988,0.3289735321749845,0.5516662094303157,0.3511468710638101,0.0419220181503307
133,Chromscape_LSI,H3K4me1,PairedTag_Zhu_2021,20,raw,0.5194026923710067,0.2754298886067454,0.5488084158513014,0.3309600235169408,0.031960823458652
134,Chromscape_PCA,H3K4me1,PairedTag_Zhu_2021,20,raw,0.4374704557975601,0.2092324611003141,0.4711176803622756,0.2663645514465335,-0.0560866470154225
135,Signac,H3K4me1,PairedTag_Zhu_2021,20,raw,0.3832054579805432,0.1088925803652116,0.313448890968738,0.0721977209961312,-0.0810316188067706
