,Method,Mark,Dataset,binsize,feature_selection,kmeans_ami,kmeans_ari,ward_ami,ward_ari,silhouette
121,Signac,H3K27ac,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw,-1.7264321173413517e-05,-4.087738205294123e-05,6.898624162911366e-05,1.5774197249061914e-05,-0.1544282988646885
122,NMF,H3K27ac,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw,0.3068785836523973,0.2750762534801044,0.3054720703977134,0.2776156332463207,-0.1490603016632757
123,TFIDF-NMF,H3K27ac,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw,0.3624541157300078,0.423823664487639,0.3430778266936143,0.3879565133752097,-0.0490417828778204
124,Signac,H3K27ac,scCutTagPro_Zhang_2021,GeneTSS,raw,0.0027267994514553,0.0010308976635173,0.0006118549325892,-0.0008914570039887,-0.2749574978750177
125,SnapATAC,H3K27ac,scCutTagPro_Zhang_2021,GeneTSS,raw,-0.0002207400886375,-8.814146843431352e-05,-0.0002325864188038,-0.0001201803857392,-0.1719163481108042
126,NMF,H3K27ac,scCutTagPro_Zhang_2021,GeneTSS,raw,0.0060844941234858,0.0002207971750958,0.0060594091634597,0.0001127791853447,-0.1882563559284114
127,TFIDF-NMF,H3K27ac,scCutTagPro_Zhang_2021,GeneTSS,raw,0.0061874612611237,8.059849886500459e-06,0.0059919594121885,0.0001125889719019,-0.1352650555361536
128,Chromscape_LSI,H3K27ac,scCutTagPro_Zhang_2021,1000,raw,0.2943768752513365,0.1937792997392005,0.2886203155740287,0.2379795889186709,-0.0272956014279427
129,Chromscape_PCA,H3K27ac,scCutTagPro_Zhang_2021,1000,raw,0.188942053547739,0.2989814502897225,0.1817667326820505,0.2855381328766636,-0.0264477208110809
130,Signac,H3K27ac,scCutTagPro_Zhang_2021,1000,raw,0.2773116825775467,0.1858060182307544,0.0980210475504585,0.0251857194893282,-0.0148172946229508
131,cisTopic,H3K27ac,scCutTagPro_Zhang_2021,1000,raw,0.2618004670346128,0.1865675816089307,0.2527506397782711,0.2527119249910947,-0.0062762198630574
132,NMF,H3K27ac,scCutTagPro_Zhang_2021,1000,raw,0.074348407714333,-0.0150952815600612,0.0744019748200756,-0.0080480051486998,-0.1169990324666617
133,TFIDF-NMF,H3K27ac,scCutTagPro_Zhang_2021,1000,raw,0.3187583869513135,0.2203828981025741,0.288293279367417,0.1980078949806175,-0.0212846153375248
134,Chromscape_LSI,H3K27ac,scCutTagPro_Zhang_2021,10,raw,0.1665062117275498,0.1747780161117491,0.0001377390650503,5.408341586651696e-05,-0.1221275006223018
135,Chromscape_PCA,H3K27ac,scCutTagPro_Zhang_2021,10,raw,0.0197216266539697,0.0146289361705698,0.0175986126709211,0.0210319969465924,-0.0478098641851237
136,Signac,H3K27ac,scCutTagPro_Zhang_2021,10,raw,-0.0001726120753711,-0.000135942670287,0.0001382159003498,5.4229702306973873e-05,-0.1504860179732845
137,cisTopic,H3K27ac,scCutTagPro_Zhang_2021,10,raw,0.3001166330316335,0.2212553011711308,0.2985216389285388,0.2207632686190176,0.0059736449812685
138,NMF,H3K27ac,scCutTagPro_Zhang_2021,10,raw,0.2799921476250472,0.158194396098838,0.1675848159878039,0.015150463274457,-0.1633073649068721
139,TFIDF-NMF,H3K27ac,scCutTagPro_Zhang_2021,10,raw,0.3631675060787683,0.4109819572716741,0.3054806312243084,0.3793699004871991,-0.0196363227352241
140,Chromscape_LSI,H3K27ac,scCutTagPro_Zhang_2021,50,raw,0.204886265694926,0.219553318214028,0.2115108377740369,0.2204087084500518,-0.0558321559062487
141,Chromscape_PCA,H3K27ac,scCutTagPro_Zhang_2021,50,raw,0.0456229067990988,0.0460689172368951,0.0170816428592565,0.0206602478543023,-0.0603078393010231
142,Signac,H3K27ac,scCutTagPro_Zhang_2021,50,raw,0.1999516875870683,0.1173010218092817,0.0002862238917504,0.0001016105496446,-0.0935157984356075
143,cisTopic,H3K27ac,scCutTagPro_Zhang_2021,50,raw,0.3109348320822785,0.2207153909614257,0.3187565332051732,0.2479510185954493,0.0169335619012571
144,NMF,H3K27ac,scCutTagPro_Zhang_2021,50,raw,0.3757979689200675,0.2609287700876114,0.140183762643487,0.0133754086425467,-0.1489169016667193
145,TFIDF-NMF,H3K27ac,scCutTagPro_Zhang_2021,50,raw,0.350207798260855,0.2818460919758974,0.3365598304053985,0.2628053799451137,-0.0204252825139634
146,Chromscape_LSI,H3K27ac,scCutTagPro_Zhang_2021,20,raw,0.1822662887176381,0.1941133079367325,0.2171921631617226,0.234328799436225,-0.0915530570102839
147,Chromscape_PCA,H3K27ac,scCutTagPro_Zhang_2021,20,raw,0.0259293285983292,0.0265174958200528,0.0044940690495145,0.0031746661693544,-0.0539536723760714
148,Signac,H3K27ac,scCutTagPro_Zhang_2021,20,raw,0.0727290237263108,-0.0194652702336416,0.0001382159003498,5.4229702306973873e-05,-0.1283052075727782
149,cisTopic,H3K27ac,scCutTagPro_Zhang_2021,20,raw,0.3072057484018436,0.2220395967123691,0.2998025578739349,0.2007553283105379,0.0153176293351765
150,NMF,H3K27ac,scCutTagPro_Zhang_2021,20,raw,0.3769627370970532,0.2567568637608895,0.1529477376521323,0.0226439732635075,-0.1570799070290275
151,TFIDF-NMF,H3K27ac,scCutTagPro_Zhang_2021,20,raw,0.311445204624907,0.3758964218028745,0.2981705805495755,0.3596499017492273,-0.0430581096350438
152,Chromscape_LSI,H3K27ac,scCutTagPro_Zhang_2021,SicerPseudoBulk5000,raw,0.2895585882040639,0.2423133508230665,0.2716525856574319,0.2727589330276585,-0.0449918075491039
153,Chromscape_PCA,H3K27ac,scCutTagPro_Zhang_2021,SicerPseudoBulk5000,raw,0.0144363415198122,0.039703801422858,0.0060348467440384,0.0056937809053572,-0.0464367563376554
154,Signac,H3K27ac,scCutTagPro_Zhang_2021,SicerPseudoBulk5000,raw,0.0253473702433614,0.0005973882437374,0.0639364446223773,-0.0023812983871651,-0.0527357554141972
155,SnapATAC,H3K27ac,scCutTagPro_Zhang_2021,SicerPseudoBulk5000,raw,0.2665543650708148,0.2468124192273371,0.2431484660971918,0.1920151187309476,-0.0185907199048524
156,PeakVI,H3K27ac,scCutTagPro_Zhang_2021,SicerPseudoBulk5000,raw,0.2679546151373356,0.1767767258370219,0.2673449839169123,0.1749455175143523,-0.001136897015121
157,SCALE,H3K27ac,scCutTagPro_Zhang_2021,SicerPseudoBulk5000,raw,0.2573127172735332,0.1651203795824034,0.249130953162761,0.1933993481819157,-0.0359787282046674
158,NMF,H3K27ac,scCutTagPro_Zhang_2021,SicerPseudoBulk5000,raw,0.1341517283009247,0.0307522930924512,0.2055466678523371,0.133672784735133,-0.102810827292082
159,TFIDF-NMF,H3K27ac,scCutTagPro_Zhang_2021,SicerPseudoBulk5000,raw,0.291636949946889,0.2388794691592342,0.2520285045356771,0.2395424732140702,-0.009114796293746
160,Chromscape_LSI,H3K27ac,scCutTagPro_Zhang_2021,SicerPseudoBulk2000,raw,0.2836908464856568,0.3185770778181473,0.2617904505779373,0.3343063147697775,-0.0594131945742692
161,Chromscape_PCA,H3K27ac,scCutTagPro_Zhang_2021,SicerPseudoBulk2000,raw,0.0089341003404509,0.024103893923964,0.0104245822513225,0.0158031213632572,-0.0495037585240061
162,Signac,H3K27ac,scCutTagPro_Zhang_2021,SicerPseudoBulk2000,raw,0.0875622807691752,0.0117656735721908,0.0692463437417349,-0.0051605002608054,-0.0731495331109641
163,SnapATAC,H3K27ac,scCutTagPro_Zhang_2021,SicerPseudoBulk2000,raw,0.2676933331741365,0.2173802902317297,0.2530990711429224,0.2315483901475202,-0.0211091208881595
164,PeakVI,H3K27ac,scCutTagPro_Zhang_2021,SicerPseudoBulk2000,raw,0.2350850247795348,0.1741633422523734,0.2412444023730335,0.1930827666032662,-0.0042489873629911
165,SCALE,H3K27ac,scCutTagPro_Zhang_2021,SicerPseudoBulk2000,raw,0.2474001145256949,0.1578384774038665,0.2444134132725267,0.1900862875787183,-0.0480400181862767
166,NMF,H3K27ac,scCutTagPro_Zhang_2021,SicerPseudoBulk2000,raw,0.2153712933540488,0.1298483183427219,0.2055441724756913,0.1500108969125245,-0.1338366744691262
167,TFIDF-NMF,H3K27ac,scCutTagPro_Zhang_2021,SicerPseudoBulk2000,raw,0.3207261637584752,0.3304931535987506,0.3202661337754018,0.339384120775297,-0.0238427377093397
