,Method,K,fraction,frac. shared neighbors,Mark,Dataset,binsize,feature_selection
113,Chromscape_PCA,42,0.005,0.0096826543719607,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
114,Signac,42,0.005,0.0010322047894302,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
115,SnapATAC,42,0.005,0.0050692724103128,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
116,cisTopic,42,0.005,0.0158930865216992,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
117,NMF,42,0.005,0.001146894210478,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
118,TFIDF-NMF,42,0.005,0.0011985044499495,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
119,Chromscape_LSI,83,0.01,0.0185844534206188,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
120,Chromscape_PCA,83,0.01,0.018324744062957,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
121,Signac,83,0.01,0.0024969821482461,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
122,SnapATAC,83,0.01,0.0102432852798477,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
123,cisTopic,83,0.01,0.0292775146830094,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
124,NMF,83,0.01,0.0027320263713814,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
125,TFIDF-NMF,83,0.01,0.0027523388351092,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
126,Chromscape_LSI,249,0.03,0.0493075384389194,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
127,Chromscape_PCA,249,0.03,0.0504261748342116,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
128,Signac,249,0.03,0.0094578700157083,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
129,SnapATAC,249,0.03,0.0304662774411712,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
130,cisTopic,249,0.03,0.0765983007173201,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
131,NMF,249,0.03,0.0097867384760622,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
132,TFIDF-NMF,249,0.03,0.0099294093522452,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
133,Chromscape_LSI,415,0.05,0.0778666689880911,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
134,Chromscape_PCA,415,0.05,0.0800398124289063,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
135,Signac,415,0.05,0.0187571093623047,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
136,SnapATAC,415,0.05,0.0504204679991642,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
137,cisTopic,415,0.05,0.1180630034589224,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
138,NMF,415,0.05,0.0191598765002205,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
139,TFIDF-NMF,415,0.05,0.0194773312904798,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
140,Chromscape_LSI,830,0.1,0.1414552719548715,H3K9me3,scCutTagPro_Zhang_2021,GeneTSS,raw
